num,name,position,height,wingspan,weight,dob,age,beforenba,experience,draftyear,pick,acquired,signedusing,currentcontract,salary2021,salary2122,salary2223,salary2324,salary2425,salary2526,contractdetails,positionbreakdown,position,gp,winpct,ortg,drtg,nrtg,mpg,per,tspct,usgpct,ows,dws,wsper48,obpm,dbpm,vorp,pie,
99,Tacko Fall,Big,7' 5'',8' 4'',311 lbs.,12/10/95,24.8,UCF,2,2019,,Signed on 7/25/19,,,1416852,,,,,,,100% C,5,6,0.833,103.6,90.9,12.7,4.0,23.9,0.713,29.0,0.0,0.1,0.102,-2.0,3.1,0.0,20.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10/15/20,25.64,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,26.20,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roster Info,,,,,,,,,,,,,,102317412,,,,,,,,,,,,,,,,,,,,,,,,,
,Guaranteed Contracts,9,,,,,,,,,,,,,141509847,,,,,,,,,,,,,,,,,,,,,,,,,
,NG Contracts / PO's,4,,,,,,,,,,,,,149780778,,,,,,,,,,,,,,,,,,,,,,,,,
,Draft Picks,4,,,,,,,,,,,,,148262797,,,,,,,,,,,,,,,,,,,,,,,,,
,Projected Exceptions,"Tax MLE ($5,718,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Paid,$0 ,,,,,,,,,,,,Salary Cap,109140000,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Received,$0 ,,,,,,,,,,,,Luxury Tax,132627000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19-20 Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winning Percentage,0.667,3rd in East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Offensive Rating,112.8,4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defensive Rating,106.5,4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Rating,6.3,3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pace,99.92,17th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incoming Picks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outgoing Picks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Historical Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-2020,48,24,3rd in East,,Brad Stevens,,"Beat PHI in first round (4-0), beat TOR in semifinals (4-3), lost to MIA in ECF (4-2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-2019,49,33,4th in East,,Brad Stevens,,"Beat IND in first round (4-0), lost to MIL in semifinals (4-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-2018,55,27,2nd in East,,Brad Stevens,,"Beat MIL in first round (4-3), beat PHI in semifinals (4-1), lost to CLE in ECF (4-3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-2017,53,29,1st in East,,Brad Stevens,,"Beat CHI in first round (4-2), beat WSH in semifinals (4-3), lost to CLE in ECF (4-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-2016,48,34,5th in East,,Brad Stevens,,Lost to ATL in first round (4-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-2015,40,42,7th in East,,Brad Stevens,,Lost to CLE in first round (4-0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013-2014,25,57,12th in East,,Brad Stevens,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012-2013,41,40,7th in East,,Doc Rivers,,Lost to NYK in first round (4-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011-2012,39,27,4th in East,,Doc Rivers,,"Beat ATL in first round (4-2), beat PHI in semifinals (4-3), lost to MIA in ECF (4-3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010-2011,56,26,3rd in East,,Doc Rivers,,"Beat NYK in first round (4-0), lost to MIA in semifinals (4-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ten Year Record,454,339,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
