num,name,position,height,wingspan,weight,dob,age,beforenba,experience,draftyear,pick,acquired,signedusing,currentcontract,salary2021,salary2122,salary2223,salary2324,salary2425,salary2526,contractdetails,positionbreakdown,position,gp,winpct,ortg,drtg,nrtg,mpg,per,tspct,usgpct,ows,dws,wsper48,obpm,dbpm,vorp,pie,
26,Ray Spalding,Big,6' 9'',7' 5'',225 lbs.,3/11/97,23.5,Louisville,3,2018,56,Signed on 1/15/20,Two Way,Year 1/2 of two way from 19-20 season,Two Way,,,,,,,,,,,,,,,,,,,,,,,,,
,DEAD MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020 1st (3),,,,,,,,,,,,,,7839960,8231760,8623920,10900635,32701905,,,,,,,,,,,,,,,,,,,,,
,2020 2nd (32) - CLE,,,,,,,,,,,,,,898310,,,,,,,,,,,,,,,,,,,,,,,,,
,2020 2nd (56) - BOS,,,,,,,,,,,,,,898310,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bismack Biyombo,Big,6' 8'',7' 7'',255 lbs.,8/28/92,28.1,Fuenlabrada (Spain),10,2011,7,Traded from ORL on 7/7/18,,,25500000,,,,,,,"3% PF, 97% C",5,53,0.340,104.1,110.8,-6.7,19.4,16.1,0.570,16.8,1.5,0.9,0.113,-1.8,-0.7,-0.1,9.7,
9,Willy Hernangomez,Big,"6' 11""",7' 2'',250 lbs.,5/27/94,26.3,Sevilla (Spain),5,2015,35,Traded from NYK on 2/7/18,,,1707576,,,,,,,100% C,5,31,0.226,102.2,104.8,-2.6,23.0,19.2,0.576,22.9,0.4,0.4,0.107,0.6,-0.5,0.2,14.4,
7,Dwayne Bacon,Wing,6' 6'',"6' 10""",221 lbs.,8/30/95,25.1,Florida State,4,2017,40,2017 Draft (#40 pick),,,2023150,,,,,,,"3% PG, 43% SG, 55% SF",3,39,0.256,100.9,109.1,-8.2,17.6,6.1,0.419,19.5,-1.2,0.4,-0.053,-5.9,-0.9,-0.8,4.9,
23,Kobi Simmons,Wing,6' 5'',6' 6'',180 lbs.,7/4/97,23.2,Arizona,4,2017,,Signed on 9/16/19,,,1445697,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10/16/20,25.19,,4.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,25.00,,3.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roster Info,,,,,,,,,,,,,,56977278,,,,,,,,,,,,,,,,,,,,,,,,,
,Guaranteed Contracts,7,,,,,,,,,,,,,84107712,,,,,,,,,,,,,,,,,,,,,,,,,
,NG Contracts / PO's,4,,,,,,,,,,,,,88807535,,,,,,,,,,,,,,,,,,,,,,,,,
,Draft Picks,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Projected Exceptions,"Room ($4,767,000)",,,,,,,,,,,,Salary Cap,109140000,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Paid,$0,,,,,,,,,,,,Luxury Tax,132627000,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Received,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19-20 Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winning Percentage,0.354,10th in East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Offensive Rating,105.9,28th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defensive Rating,112.8,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Rating,-7.0,27th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pace,96.24,30th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incoming Picks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd from Brooklyn (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd from LA Clippers (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outgoing Picks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd to New York (for sure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023 2nd to Atlanta/Brooklyn/Philadelphia (for sure to one of these teams),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Historical Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-2020,23,42,10th in East,,James Borrego,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-2019,39,43,9th in East,,James Borrego,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-2018,36,46,10th in East,,Steve Clifford,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-2017,36,46,11th in East,,Steve Clifford,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-2016,48,34,6th in East,,Steve Clifford,,,Lost to MIA in first round (4-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-2015,33,49,11th in East,,Steve Clifford,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013-2014,43,39,7th in East,,Steve Clifford,,,Lost to MIA in first round (4-0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012-2013,21,61,14th in East,,Mike Dunlap,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011-2012,7,59,15th in East,,Paul Silas,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010-2011,34,48,10th in East,,Larry Brown / Paul Silas,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ten Year Record,320,467,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
