num,name,position,height,wingspan,weight,dob,age,beforenba,experience,draftyear,pick,acquired,signedusing,currentcontract,salary2021,salary2122,salary2223,salary2324,salary2425,salary2526,contractdetails,positionbreakdown,position,gp,winpct,ortg,drtg,nrtg,mpg,per,tspct,usgpct,ows,dws,wsper48,obpm,dbpm,vorp,pie
00,Rodions Kurucs,Forward,6' 9'',7' 2'',228 lbs.,2/5/98,22.6,FC Barcelona (Spain),3,2018,40,2018 Draft (#40 pick),Cap Space,Year 3/4 of 4 yr/$7M from 2018 offseason,1780152,1861068,1898973,,,,,"91% PF, 9% C",4,39,0.333,99.5,101.7,-2.2,12.8,8.4,0.554,15.1,-0.1,0.6,0.048,-3.9,0.9,-0.1,6.4
33,Nic Claxton,Big,"6' 11""",7' 3'',215 lbs.,4/17/99,21.4,Georgia,2,2019,31,2019 Draft (#31 pick),Cap Space,Year 2/3 of 3 yr/$4M from 2019 offseason,1517981,1782621,2228276,,,,,"29% PF, 71% C",5,15,0.333,94.1,109.7,-15.6,12.5,14.9,0.577,14.8,0.3,0.2,0.124,-0.7,0.0,0.1,9.2
0,Jeremiah Martin,Point,6' 2'',6' 9'',185 lbs.,6/19/96,24.3,Memphis,2,2019,,Signed on 1/15/20,Two Way,Year 1/2 of two way from 19-20 season,Two Way,,,,,,,"15% PG, 86% SG",2,3,1.000,105.9,100.0,5.9,5.3,5.9,0.200,13.1,0.0,0.0,-0.040,-6.6,3.6,0.0,5.6
,DEAD MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020 1st (19) - PHI,,,,,,,,,,,,,,2689920,2824320,2959080,4556983,13670949,,,,,,,,,,,,,,,,,,,,
,2020 2nd (55) - DEN,,,,,,,,,,,,,,898310,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Joe Harris,Wing,6' 6'',6' 6'',220 lbs.,9/6/91,29.1,Virginia,7,2014,33,Signed on 7/19/16,,,14566667,,,,,,,"11% SG, 82% SF, 7% PF",3,63,0.476,109.9,108.3,1.6,30.9,12.7,0.592,17.9,2.1,1.7,0.094,0.0,-0.5,0.8,8.6
21,Wilson Chandler,Big,6' 8'',"6' 11""",235 lbs.,5/10/87,33.4,DePaul,14,2007,23,Signed on 7/8/19,,,1620564,,,,,,,"1% SG, 21% SF, 75% PF, 3% C",4,35,0.457,101.7,108.2,-6.5,21.0,7.4,0.531,13.0,-0.1,0.9,0.050,-3.9,1.0,-0.2,6.5
8,Tyler Johnson,Combo,6' 3'',6' 6'',186 lbs.,5/7/92,28.4,Fresno State,7,2014,,Signed on 6/24/20,,,1620564,,,,,,,"37% PG, 58% SG, 5% SF",2,31,0.355,99.1,107.2,-8.1,16.6,8.1,0.481,17.3,-0.2,0.3,0.011,-3.0,-0.7,-0.2,5.6
4,Chris Chiozza,Point,"5' 11""",6' 1'',175 lbs.,11/25/95,24.8,Florida,3,2018,,Signed on 1/4/20,,,1416852,,,,,,,100% PG,1,11,0.636,105.4,101.8,3.6,11.5,16.5,0.621,17.9,0.3,0.1,0.154,1.8,1.1,0.2,12.2
10,Justin Anderson,Wing,6' 5'',"6' 11""",231 lbs.,11/19/93,26.9,Virginia,6,2015,21,Signed on 7/18/20,,,1620564,,,,,,,"35% SG, 65% SF",3,3,0.667,69.2,94.6,-25.4,5.6,-3.8,0.218,16.9,-0.1,0.0,-0.167,-12.8,-2.3,-0.1,-4.7
45,Donta Hall,Big,6' 9'',7' 2'',229 lbs.,8/7/97,23.1,Alabama,2,2019,,Signed on 7/10/20,,,1620564,,,,,,,,,,,,,,,,,,,,,,,,
42,Lance Thomas,Big,6' 8'',7' 3'',225 lbs.,4/24/88,32.4,Duke,10,2010,,Signed on 7/14/20,,,1620564,,,,,,,,,,,,,,,,,,,,,,,,
1,Jamal Crawford,Wing,6' 5'',"6' 10""",200 lbs.,3/20/80,40.5,Michigan,21,2000,8,Signed on 7/9/20,,,1620564,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10/16/20,26.52,,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,26.10,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roster Info,,,,,,,,,,,,,,135872235,,,,,,,,,,,,,,,,,,,,,,,,
,Guaranteed Contracts,10,,,,,,,,,,,,,142701588,,,,,,,,,,,,,,,,,,,,,,,,
,NG Contracts / PO's,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Draft Picks,2,,,,,,,,,,,,Salary Cap,109140000,,,,,,,,,,,,,,,,,,,,,,,,
,Projected Exceptions,"Tax MLE ($5,718,000)",,,,,,,,,,,,Luxury Tax,132627000,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Paid,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Received,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19-20 Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winning Percentage,0.486,7th in East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Offensive Rating,108.7,22nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defensive Rating,109.2,10th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Rating,-0.5,15th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pace,101.70,10th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incoming Picks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2021 2nd from Indiana (protected 45-60 in 2021 and 2022, unprotected in 2023)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd from Atlanta (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd from Phoenix (protected 31-35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd from Toronto (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025 2nd from Golden State (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outgoing Picks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd to Charlotte (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2023 2nd to Atlanta/Philadelphia (receive least favorable own pick, Atlanta pick, and Charlotte pick)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025 2nd to Atlanta (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Historical Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-2020,35,37,7th in East,,Kenny Atkinson / Jacque Vaughn,,,Lost to TOR in first round (4-0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-2019,42,40,6th in East,,Kenny Atkinson,,,Lost to PHI in first round (4-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-2018,28,54,12th in East,,Kenny Atkinson,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-2017,20,62,15th in East,,Kenny Atkinson,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-2016,21,61,14th in East,,Lionel Hollins / Tony Brown,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-2015,38,44,8th in East,,Lionel Hollins,,,Lost to ATL in first round (4-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013-2014,44,38,6th in East,,Jason Kidd,,,"Beat TOR in first round (4-3), lost to MIA in semifinals (4-2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012-2013,49,33,4th in East,,Avery Johnson / PJ Carlesimo,,,Lost to CHI in first round (4-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011-2012,22,44,12th in East,,Avery Johnson,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010-2011,24,58,12th in East,,Avery Johnson,,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ten Year Record,323,471,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
